Discrete	O
domains	O
mediate	O
the	O
light	O
-	O
responsive	O
nuclear	O
and	O
cytoplasmic	O
localization	O
of	O
Arabidopsis	B
COP1	O
.	O

The	O
Arabidopsis	B
CONSTITUTIVE	O
PHOTOMORPHOGENIC1	O
(	O
COP1	O
)	O
protein	O
plays	O
a	O
critical	O
role	O
in	O
the	O
repression	O
of	O
photomorphogenesis	O
during	O
Arabidopsis	B
seedling	O
development	O
.	O

We	O
investigated	O
the	O
control	O
of	O
COP1	O
partitioning	O
between	O
nucleus	O
and	O
cytoplasm	O
,	O
which	O
has	O
been	O
implicated	O
in	O
the	O
regulation	O
of	O
COP1	O
activity	O
,	O
by	O
using	O
fusion	O
proteins	O
between	O
COP1	O
and	O
beta	O
-	O
glucuronidase	O
or	O
the	O
green	O
fluorescent	O
protein	O
.	O

Transient	O
expression	O
assays	O
using	O
onion	B
epidermal	O
cells	O
and	O
data	O
from	O
hypocotyl	O
cells	O
of	O
stably	O
transformed	O
Arabidopsis	B
demonstrated	O
that	O
COP1	O
carries	O
a	O
single	O
,	O
bipartite	O
nuclear	O
localization	O
signal	O
that	O
functions	O
independently	O
of	O
light	O
.	O

Nuclear	O
exclusion	O
was	O
mediated	O
by	O
a	O
novel	O
and	O
distinct	O
signal	O
,	O
bordering	O
the	O
zinc	O
-	O
finger	O
and	O
coiled	O
-	O
coil	O
motifs	O
,	O
that	O
was	O
able	O
to	O
redirect	O
a	O
heterologous	O
nuclear	O
protein	O
to	O
the	O
cytoplasm	O
.	O

The	O
cytoplasmic	O
localization	O
signal	O
functioned	O
in	O
a	O
light	O
-	O
independent	O
manner	O
.	O

Light	O
regulation	O
of	O
nuclear	O
localization	O
was	O
reconstituted	O
by	O
combining	O
the	O
individual	O
domains	O
containing	O
the	O
nuclear	O
localization	O
signal	O
and	O
the	O
cytoplasmic	O
localization	O
signal	O
;	O
the	O
WD-40	O
repeat	O
domain	O
of	O
COP1	O
was	O
not	O
required	O
.	O

However	O
,	O
phenotypic	O
analysis	O
of	O
transgenic	O
seedlings	O
suggested	O
that	O
the	O
constitutively	O
nuclear	O
-	O
localized	O
WD-40	O
repeat	O
domain	O
was	O
able	O
to	O
mimic	O
aspects	O
of	O
COP1	O
function	O
,	O
as	O
indicated	O
by	O
exaggerated	O
hypocotyl	O
elongation	O
under	O
light	O
conditions	O
.	O

Identification	O
and	O
characterization	O
of	O
major	O
lipid	O
particle	O
proteins	O
of	O
the	O
yeast	B
Saccharomyces	B
cerevisiae	I
.	O

Lipid	O
particles	O
of	O
the	O
yeast	B
Saccharomyces	B
cerevisiae	I
were	O
isolated	O
at	O
high	O
purity	O
,	O
and	O
their	O
proteins	O
were	O
separated	O
by	O
sodium	O
dodecyl	O
sulfate	O
-	O
polyacrylamide	O
gel	O
electrophoresis	O
.	O

Major	O
lipid	O
particle	O
proteins	O
were	O
identified	O
by	O
mass	O
spectrometric	O
analysis	O
,	O
and	O
the	O
corresponding	O
open	O
reading	O
frames	O
(	O
ORFs	O
)	O
were	O
deduced	O
.	O

In	O
silicio	O
analysis	O
revealed	O
that	O
all	O
lipid	O
particle	O
proteins	O
contain	O
several	O
hydrophobic	O
domains	O
but	O
none	O
or	O
only	O
few	O
(	O
hypothetical	O
)	O
transmembrane	O
spanning	O
regions	O
.	O

All	O
lipid	O
particle	O
proteins	O
identified	O
by	O
function	O
so	O
far	O
,	O
such	O
as	O
Erg1p	O
,	O
Erg6p	O
,	O
and	O
Erg7p	O
(	O
ergosterol	O
biosynthesis	O
)	O
and	O
Faa1p	O
,	O
Faa4p	O
,	O
and	O
Fat1p	O
(	O
fatty	O
acid	O
metabolism	O
)	O
,	O
are	O
involved	O
in	O
lipid	O
metabolism	O
.	O

Based	O
on	O
sequence	O
homology	O
,	O
another	O
group	O
of	O
three	O
lipid	O
particle	O
proteins	O
may	O
be	O
involved	O
in	O
lipid	O
degradation	O
.	O

To	O
examine	O
whether	O
lipid	O
particle	O
proteins	O
of	O
unknown	O
function	O
are	O
also	O
involved	O
in	O
lipid	O
synthesis	O
,	O
mutants	O
with	O
deletions	O
of	O
the	O
respective	O
ORFs	O
were	O
constructed	O
and	O
subjected	O
to	O
systematic	O
lipid	O
analysis	O
.	O

Deletion	O
of	O
YDL193w	O
resulted	O
in	O
a	O
lethal	O
phenotype	O
which	O
could	O
not	O
be	O
suppressed	O
by	O
supplementation	O
with	O
ergosterol	O
or	O
fatty	O
acids	O
.	O

Other	O
deletion	O
mutants	O
were	O
viable	O
under	O
standard	O
conditions	O
.	O

Strains	O
with	O
YBR177c	O
,	O
YMR313c	O
,	O
and	O
YKL140w	O
deleted	O
exhibited	O
phospholipid	O
and/or	O
neutral	O
lipid	O
patterns	O
that	O
were	O
different	O
from	O
the	O
wild	O
-	O
type	O
strain	O
and	O
thus	O
may	O
be	O
further	O
candidate	O
ORFs	O
involved	O
in	O
yeast	B
lipid	O
metabolism	O
.	O

The	O
putative	O
tumour	O
suppressor	O
Fus-2	O
is	O
an	O
N	O
-	O
acetyltransferase	O
.	O

Acetyltransferases	O
are	O
essential	O
enzymes	O
for	O
a	O
wide	O
variety	O
of	O
cellular	O
processes	O
and	O
mutations	O
in	O
acetyltransferase	O
genes	O
have	O
been	O
associated	O
with	O
the	O
development	O
of	O
certain	O
cancers	O
.	O

For	O
this	O
reason	O
,	O
we	O
conducted	O
a	O
computerized	O
sequence	O
homology	O
search	O
for	O
novel	O
acetyltransferases	O
.	O

Here	O
,	O
we	O
show	O
that	O
the	O
putative	O
tumour	O
suppressor	O
protein	O
Fus-2	O
has	O
homology	O
to	O
the	O
catalytic	O
domain	O
of	O
acetyltransferases	O
.	O

We	O
demonstrate	O
that	O
Fus-2	O
can	O
acetylate	O
the	O
N	O
-	O
terminus	O
of	O
proteins	O
using	O
a	O
ping	O
-	O
pong	O
mechanism	O
and	O
that	O
it	O
has	O
a	O
specificity	O
for	O
substrates	O
.	O

Consistent	O
with	O
other	O
N	O
-	O
acetyltransferases	O
,	O
Fus-2	O
localizes	O
to	O
the	O
cytoplasm	O
,	O
as	O
shown	O
by	O
GFP	O
-	O
tag	O
experiments	O
.	O

Since	O
the	O
Fus-2	O
gene	O
maps	O
to	O
the	O
chromosomal	O
region	O
3p21.3	O
,	O
which	O
contains	O
at	O
least	O
one	O
tumour	O
suppressor	O
gene	O
,	O
the	O
N	O
-	O
acetyltransferase	O
functions	O
of	O
Fus-2	O
may	O
be	O
relevant	O
to	O
its	O
potential	O
role	O
in	O
cancer	O
.	O

Characterization	O
of	O
a	O
novel	O
zinc	O
finger	O
gene	O
with	O
increased	O
expression	O
in	O
nondividing	O
normal	O
human	B
cells	O
.	O

We	O
report	O
here	O
the	O
cloning	O
and	O
characterization	O
of	O
a	O
novel	O
KRAB	O
zinc	O
finger	O
gene	O
,	O
ZFQR	O
,	O
which	O
has	O
eight	O
tandemly	O
repeated	O
zinc	O
fingers	O
,	O
a	O
complete	O
KRAB	O
box	O
at	O
the	O
N	O
-	O
terminal	O
region	O
,	O
and	O
a	O
unique	O
C	O
-	O
terminal	O
sequence	O
.	O

It	O
is	O
expressed	O
in	O
a	O
variety	O
of	O
human	B
tissues	O
,	O
and	O
mRNA	O
levels	O
are	O
upregulated	O
in	O
nondividing	O
senescent	O
and	O
quiescent	O
human	B
fibroblasts	O
.	O

Overexpression	O
of	O
the	O
protein	O
in	O
quiescent	O
cells	O
stimulated	O
with	O
serum	O
growth	O
factors	O
results	O
in	O
inhibition	O
of	O
entry	O
into	O
the	O
cell	O
cycle	O
.	O

The	O
latter	O
activity	O
is	O
lost	O
when	O
the	O
N	O
-	O
terminal	O
KRAB	O
domain	O
is	O
deleted	O
.	O

The	O
KRAB	O
domain	O
is	O
also	O
required	O
for	O
the	O
transcriptional	O
repression	O
activity	O
of	O
ZFQR	O
and	O
in	O
maintaining	O
association	O
of	O
the	O
protein	O
with	O
the	O
nuclear	O
matrix	O
.	O

The	O
gene	O
has	O
been	O
mapped	O
to	O
human	B
chromosome	O
19q13.4	O
.	O

The	O
association	O
of	O
ZFQR	O
with	O
the	O
nuclear	O
matrix	O
,	O
transcriptional	O
repression	O
activity	O
,	O
increased	O
expression	O
in	O
senescent	O
and	O
quiescent	O
cells	O
,	O
and	O
the	O
ability	O
to	O
inhibit	O
quiescent	O
cells	O
stimulated	O
with	O
growth	O
factors	O
from	O
entering	O
the	O
cell	O
cycle	O
suggests	O
a	O
role	O
for	O
ZFQR	O
in	O
the	O
maintenance	O
of	O
the	O
nondividing	O
state	O
of	O
normal	O
human	B
cells	O
.	O

Molecular	O
cloning	O
and	O
characterization	O
of	O
PELP1	O
,	O
a	O
novel	O
human	B
coregulator	O
of	O
estrogen	O
receptor	O
alpha	O
.	O

Nuclear	O
hormone	O
receptors	O
(	O
NRs	O
)	O
are	O
transcription	O
factors	O
whose	O
activity	O
is	O
regulated	O
by	O
ligands	O
and	O
by	O
coactivators	O
or	O
corepressors	O
.	O

We	O
report	O
the	O
characterization	O
of	O
a	O
new	O
NR	O
coregulator	O
:	O
proline-	O
,	O
glutamic	O
acid-	O
,	O
leucine	O
-	O
rich	O
protein	O
1	O
(	O
PELP1	O
)	O
,	O
a	O
novel	O
human	B
protein	O
that	O
comprises	O
1,282	O
amino	O
acids	O
and	O
is	O
localized	O
on	O
chromosome	O
17	O
.	O

The	O
primary	O
structure	O
of	O
PELP1	O
consists	O
of	O
several	O
motifs	O
present	O
in	O
most	O
transcriptional	O
regulators	O
including	O
nine	O
NR	O
-	O
interacting	O
boxes	O
(	O
LXXLL	O
motifs	O
)	O
,	O
a	O
zinc	O
finger	O
,	O
and	O
glutamic	O
acid-	O
and	O
proline	O
-	O
rich	O
regions	O
.	O

We	O
demonstrate	O
that	O
PELP1	O
is	O
a	O
coactivator	O
of	O
estrogen	O
receptor	O
alpha	O
(	O
ERalpha	O
)	O
.	O

PELP1	O
enhances	O
17beta	O
-	O
estradiol	O
-	O
dependent	O
transcriptional	O
activation	O
from	O
the	O
estrogen	O
response	O
element	O
in	O
a	O
dose	O
-	O
dependent	O
manner	O
.	O

PELP1	O
interacts	O
with	O
ERalpha	O
and	O
also	O
with	O
general	O
transcriptional	O
coactivators	O
