A	O
third	O
MAR	O
is	O
located	O
at	O
8q24	O
.	O
12	O
-	O
q24	O
.	O
21	O
and	O
is	O
common	O
to	O
MCF	B
-	I
7	I
,	O
ZR	B
-	I
75	I
-	I
30	I
and	O
SK	B
-	I
BR	I
-	I
3	I
,	O
whereas	O
lower	O
-	O
level	O
gains	O
are	O
apparent	O
in	O
BT	B
-	I
474	I
,	O
UACC	B
-	I
893	I
and	O
MDA	B
-	I
MB	I
-	I
231	I
.	O

Mutation	O
M96V	O
prevents	O
CX2	O
(	O
filter	O
remains	O
in	O
NX	O
)	O
even	O
at	O
high	O
[	O
K	O
+	O
]	O
(	O
Figure	O
3B	O
)	O
.	O

GenBank	O
accession	O
numbers	O
for	O
the	O
genomic	O
sequences	O
of	O
the	O
H5N1	O
viruses	O
isolated	O
from	O
subjects	O
CL26	O
(	O
A	O
/	O
Vietnam	O
/	O
CL26	O
/	O
2004	O
)	O
,	O
CL36	O
(	O
A	O
/	O
Vietnam	O
/	O
CL36	O
/	O
2004	O
)	O
and	O
CL115	O
(	O
A	O
/	O
Vietnam	O
/	O
CL115	O
/	O
2005	O
)	O
,	O
have	O
been	O
published	O
previously	O
[	O
3	O
]	O
.	O

Compared	O
to	O
monolayer	O
cells	O
,	O
the	O
adhesion	O
of	O
day	O
2	O
IOSE29	B
spheroids	O
decreased	O
by	O
approximately	O
50	O
%	O
or	O
more	O
(	O
p	O
<	O
0	O
.	O
05	O
)	O
,	O
while	O
adhesion	O
of	O
OVHS1	B
and	O
HEY	B
remained	O
unchanged	O
with	O
no	O
significant	O
differences	O
on	O
any	O
of	O
the	O
ECM	O
components	O
(	O
Figure	O
3	O
)	O
.	O

Interestingly	O
,	O
we	O
found	O
that	O
MRE11	O
protein	O
had	O
a	O
markedly	O
faster	O
mobility	O
in	O
NBS1	O
GM15808	B
cells	O
relative	O
to	O
all	O
other	O
cell	O
types	O
analyzed	O
,	O
including	O
NBS1	O
GM07078	B
(	O
Fig	O
.	O
3C	O
)	O
.	O

Consistent	O
with	O
the	O
observations	O
described	O
above	O
,	O
blocking	O
CXCL1	O
by	O
adding	O
a	O
neutralizing	O
antibody	O
also	O
completely	O
inhibited	O
Py	B
-	I
4	I
-	I
1	I
endothelial	O
tube	O
formation	O
induced	O
by	O
treatment	O
with	O
conditioned	O
media	O
from	O
LS	B
-	I
174	I
T	I
(	O
Fig	O
.	O
6	O
E	O
)	O
or	O
HCA	B
-	I
7	I
(	O
Fig	O
.	O
6	O
F	O
)	O
cells	O
.	O

Moreover	O
,	O
the	O
invasive	O
phenotype	O
of	O
the	O
U87MG	B
and	O
U373MG	B
glioblastoma	O
cell	O
lines	O
was	O
clearly	O
dependent	O
on	O
N	O
-	O
cadherin	O
activity	O
,	O
because	O
it	O
was	O
inhibited	O
after	O
application	O
of	O
the	O
N	O
-	O
cadherin	O
blocking	O
antibody	O
GC	O
-	O
4	O
(	O
Fig	O
.	O
5	O
C	O
)	O
,	O
whereas	O
it	O
was	O
noneffective	O
on	O
FM	B
-	I
45	I
cells	O
that	O
express	O
mainly	O
cadherin	O
-	O
11	O
(	O
Fig	O
.	O
5	O
A	O
,	O
and	O
unpublished	O
data	O
)	O
.	O

