17380207	PRODUCT-OF	Arg1:T1	Arg2:T6
17380207	PRODUCT-OF	Arg1:T5	Arg2:T9
17380207	PRODUCT-OF	Arg1:T5	Arg2:T11
17643344	ANTAGONIST	Arg1:T11	Arg2:T15
17643344	ANTAGONIST	Arg1:T12	Arg2:T15
17643344	ANTAGONIST	Arg1:T6	Arg2:T14
17643344	ANTAGONIST	Arg1:T7	Arg2:T14
16494569	SUBSTRATE	Arg1:T10	Arg2:T21
16494569	SUBSTRATE	Arg1:T11	Arg2:T21
16494569	PRODUCT-OF	Arg1:T12	Arg2:T21
16618126	SUBSTRATE	Arg1:T24	Arg2:T43
16618126	ACTIVATOR	Arg1:T10	Arg2:T36
16618126	ACTIVATOR	Arg1:T10	Arg2:T37
16618126	ACTIVATOR	Arg1:T19	Arg2:T44
16618126	ACTIVATOR	Arg1:T20	Arg2:T44
16618126	ACTIVATOR	Arg1:T21	Arg2:T44
16618126	SUBSTRATE	Arg1:T22	Arg2:T45
16618126	ACTIVATOR	Arg1:T4	Arg2:T35
16618126	ACTIVATOR	Arg1:T5	Arg2:T35
16618126	ACTIVATOR	Arg1:T6	Arg2:T35
16618126	ACTIVATOR	Arg1:T7	Arg2:T35
16618126	ACTIVATOR	Arg1:T25	Arg2:T48
16618126	ACTIVATOR	Arg1:T25	Arg2:T47
20091113	ACTIVATOR	Arg1:T6	Arg2:T9
20091113	ACTIVATOR	Arg1:T6	Arg2:T10
23609606	INHIBITOR	Arg1:T3	Arg2:T14
23609606	INHIBITOR	Arg1:T3	Arg2:T15
23609606	INHIBITOR	Arg1:T3	Arg2:T16
23609606	INHIBITOR	Arg1:T3	Arg2:T17
11161433	INHIBITOR	Arg1:T4	Arg2:T11
11161433	INDIRECT-DOWNREGULATOR	Arg1:T4	Arg2:T13
11588409	INHIBITOR	Arg1:T15	Arg2:T26
11588409	INHIBITOR	Arg1:T9	Arg2:T20
11588409	INHIBITOR	Arg1:T9	Arg2:T21
11588409	INHIBITOR	Arg1:T9	Arg2:T22
11588409	INHIBITOR	Arg1:T10	Arg2:T23
11588409	INDIRECT-UPREGULATOR	Arg1:T10	Arg2:T24
11588409	INDIRECT-UPREGULATOR	Arg1:T10	Arg2:T25
15932636	INDIRECT-DOWNREGULATOR	Arg1:T5	Arg2:T26
20104269	INDIRECT-UPREGULATOR	Arg1:T4	Arg2:T22
20104269	INDIRECT-UPREGULATOR	Arg1:T3	Arg2:T22
20104269	INDIRECT-UPREGULATOR	Arg1:T3	Arg2:T23
20104269	INDIRECT-UPREGULATOR	Arg1:T4	Arg2:T23
20104269	AGONIST	Arg1:T6	Arg2:T24
20104269	ANTAGONIST	Arg1:T7	Arg2:T25
20104269	INDIRECT-UPREGULATOR	Arg1:T8	Arg2:T26
20104269	INDIRECT-UPREGULATOR	Arg1:T8	Arg2:T27
20104269	INDIRECT-UPREGULATOR	Arg1:T9	Arg2:T28
20104269	INDIRECT-UPREGULATOR	Arg1:T9	Arg2:T29
20104269	INDIRECT-DOWNREGULATOR	Arg1:T2	Arg2:T12
20104269	INDIRECT-DOWNREGULATOR	Arg1:T2	Arg2:T13
