10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T18	Arg2:T53
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T19	Arg2:T53
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T40	Arg2:T54
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T46	Arg2:T52
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T46	Arg2:T55
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T47	Arg2:T52
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T47	Arg2:T55
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T48	Arg2:T52
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T48	Arg2:T55
10064839	CPR:2	N 	DIRECT-REGULATOR	Arg1:T50	Arg2:T56
10082498	CPR:4	Y 	INDIRECT-DOWNREGULATOR	Arg1:T19	Arg2:T32
10082498	CPR:4	Y 	INDIRECT-DOWNREGULATOR	Arg1:T20	Arg2:T32
10082498	CPR:4	Y 	INHIBITOR	Arg1:T4	Arg2:T24
10082498	CPR:4	Y 	INHIBITOR	Arg1:T6	Arg2:T24
10082498	CPR:4	Y 	INHIBITOR	Arg1:T7	Arg2:T24
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T10	Arg2:T26
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T10	Arg2:T27
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T10	Arg2:T28
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T11	Arg2:T26
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T11	Arg2:T27
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T11	Arg2:T28
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T12	Arg2:T29
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T12	Arg2:T30
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T13	Arg2:T29
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T13	Arg2:T30
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T14	Arg2:T31
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T14	Arg2:T32
10193663	CPR:2	N 	DIRECT-REGULATOR	Arg1:T15	Arg2:T31
